"gender","age","height","weight","nc.score"
"58","Female",20,167,73.3,1.13
"59","Male",21,182,83.5,2.23
"60","Female",23,159,63,2.01
"61","Female",44,167,69,2.51
"62","Male",18,183,81.8,3.14
"63","Female",21,157,62.9,2.59
"64","Female",20,173,78.1,2.08
"65","Female",32,171,67.6,1.53
"66","Male",20,182,77.4,3.82
"67","Male",20,169,71.6,3.8
"68","Male",22,167,65.9,3.96
"69","Male",23,174,70.7,1.46
"70","Male",41,194,94.9,1.78
"71","Male",23,182,82.7,1.22
"72","Female",24,152,64.9,2.73
"73","Female",20,154,63,2.3
"74","Female",24,159,60.6,1.88
"75","Female",23,153,63.2,3.18
"76","Female",20,150,63.3,2.62
"77","Female",19,167,72.8,2.73
"78","Female",25,149,56.2,1.02
"79","Female",21,155,62.1,1.36
"80","Male",22,177,77.5,2.17
"81","Male",24,180,77.1,1.63
"82","Female",24,159,62.2,2.27
"83","Female",19,174,71.1,1.42
"84","Male",23,174,74.9,2.49
"85","Female",21,159,62.4,1.76
"86","Female",19,160,65.3,1.38
"87","Male",22,169,68,3.06
"88","Female",21,166,67.9,2.26
"89","Female",21,155,67.5,2.03
"90","Male",26,178,76.7,2.45
"91","Female",23,162,61.8,1.21
"92","Female",21,181,79,1.53
"93","Female",20,168,69.4,2.45
"94","Male",20,181,80,2.83
"95","Female",20,158,60.6,1.46
"96","Male",23,177,79.4,2.02
"97","Male",18,169,73.8,1.41
"98","Male",19,176,76.4,2.56
"99","Female",21,166,64.3,1.99
"100","Female",23,173,71.6,1.41
"101","Female",22,168,72.8,2.48
"102","Female",21,155,61.7,1.65
"103","Female",21,173,71.2,2.65
"104","Male",21,177,73.3,1.57
"105","Female",21,176,78.6,2.71
"106","Male",22,190,89.8,2.9
"107","Male",25,190,86.5,2.51
"108","Male",20,174,72.1,2.13
"109","Male",18,183,81.4,1.84
"110","Female",24,162,62.4,1.21
"111","Male",22,173,77.4,1.25
"112","Male",20,192,89.4,2.3
"113","Female",21,164,66.4,2.05
"114","Male",20,192,92.6,3.07
"115","Female",18,155,62.6,1.32
"116","Female",18,176,74.3,2.46
"117","Male",19,168,68.1,2.04
"118","Female",19,175,76.8,2.19
"119","Female",22,156,67.5,1.91
"120","Female",22,163,67.1,1.49
"121","Male",25,172,75.8,2.53
"122","Female",23,166,63.3,3.52
"123","Male",20,168,68.4,1.14
"124","Male",22,170,72,1.09
"125","Female",19,155,62.9,1.07
"126","Male",21,174,75.4,1.08
"127","Male",22,164,67.6,2.67
"128","Male",18,178,76.3,1.42
"129","Female",20,168,68.6,2.01
"130","Female",23,160,65.1,1.18
"131","Male",21,187,89.4,2.22
"132","Female",19,153,58.4,2.37
"133","Male",21,187,85.3,1.35
"134","Female",21,173,70.2,3.08
"135","Female",20,156,68.6,1.36
"136","Female",21,162,63.4,1.83
"137","Female",24,166,68.3,1.24
"138","Female",22,165,69.3,3.74
"139","Male",22,172,75.4,1.84
"140","Male",23,172,72.5,2.33
"141","Male",18,178,74.3,3.3
"142","Male",24,179,77.5,2.76
"143","Female",21,173,73.4,2.04
"144","Female",23,166,68.5,1.82
"145","Female",21,172,73.2,1.54
"146","Male",25,172,73.9,2.51
"147","Female",18,159,68.6,1.95
"148","Male",24,179,71.8,1.38
"149","Male",19,164,65.4,1.28
"150","Female",23,160,65.2,2.28
"151","Male",22,180,78.9,1.51
"152","Female",22,158,59,1.68
"153","Male",20,171,70.2,2.69
"154","Female",23,162,67.4,1.51
"155","Female",24,156,61.1,2.3
"156","Male",20,189,87.1,2.19
"157","Female",28,166,66.2,1.69
"158","Male",21,172,72.7,1.62
"159","Male",22,180,78.5,3.91
"160","Male",21,184,84.3,1.46
"161","Female",19,148,64.8,2.33
"162","Female",22,161,61.1,3.2
"163","Female",28,164,68.1,1.86
"164","Male",19,185,88.9,3.45
"165","Male",20,171,75.6,1.8
"166","Male",19,175,78.9,1.24
"167","Female",19,156,60.4,1.95
"168","Female",21,162,68.6,3.76
"169","Female",20,168,63.3,1.05
"170","Female",37,160,68.1,1.56
"171","Male",20,171,73.1,2.02
"172","Male",43,180,76.8,2.84
"173","Female",22,172,71.9,1.44
"174","Female",57,156,61.6,3.15
"175","Male",21,172,72,3.67
"176","Male",22,187,88.1,2.4
"177","Male",21,177,76.1,1.04
"178","Female",22,163,69.7,1.19
"179","Male",18,190,91.4,1.64
"180","Male",20,177,73.9,1.73
"181","Female",19,164,65.2,3.57
"182","Female",25,155,60.6,1.74
"183","Female",21,150,62.3,2.7
"184","Female",19,152,61.1,3.1
"185","Female",22,176,74.9,1.03
"186","Female",19,164,71.4,2.23
"187","Female",22,155,66.5,1.32
"188","Female",19,181,82.1,1.64
"189","Female",19,156,66.9,2.83
"190","Male",22,168,66.3,3.54
"191","Male",21,192,94.1,2.28
"192","Male",19,184,81.4,1.49
"193","Male",22,188,85.7,1.47
"194","Male",19,178,75.7,2.97
"195","Female",21,152,59.4,2.97
"196","Female",24,156,66.7,3.39
"197","Female",22,172,69.4,2.98
"198","Female",24,161,67.1,1.4
"199","Male",19,177,72.8,1.23
"200","Male",22,180,78,2.4
"201","Male",21,164,66,1.79
"202","Male",20,169,65.3,3.58
"203","Female",19,158,62.3,3.45
"204","Female",20,146,59.7,3.28
"205","Male",22,173,70.1,2.93
"206","Male",19,166,65.7,1.12
"207","Female",21,165,62.2,2.66
"208","Female",19,167,71,2.78
"209","Female",20,143,58.7,3.97
"210","Male",19,182,80.2,2.57
"211","Female",22,161,65.7,2.34
"212","Female",19,174,74.2,3.55
"213","Male",21,189,89.7,2.63
"214","Female",23,161,68.9,1.21
"215","Male",22,176,73.9,1.24
"216","Female",21,152,63.6,1.83
"217","Male",24,175,71,1.34
"218","Male",20,165,69.3,1.87
"219","Male",22,174,74.9,1.76
"220","Female",21,162,65.3,3.33
"221","Male",24,160,63,4
"222","Male",25,170,71.5,1.5
"223","Male",24,197,99.9,2.72
"224","Female",50,149,62.5,2.29
"225","Female",20,165,69.7,2.57
"226","Female",21,159,58.9,1.62
"227","Male",21,178,78.2,2.7
"228","Male",19,180,81.7,2.04
"229","Male",20,169,71.8,1.62
"230","Male",19,169,72.5,1.57
"231","Male",25,172,68,1.83
"232","Female",24,170,72.3,3.31
"233","Male",21,179,80.2,3.76
"234","Male",43,173,76.1,2.22
"235","Female",48,159,69.9,1.07
"236","Female",21,169,69.2,1.16
"237","Male",21,183,77,1.06
"238","Male",21,182,83,1.1
"239","Male",23,170,70.8,1.62
"240","Female",21,151,61.8,1.45
"241","Male",22,184,78.8,2.36
"242","Male",20,183,83.6,3.97
"243","Female",23,166,65.4,1.4
"244","Female",21,168,68.1,2.42
"245","Female",20,164,64.6,2.87
"246","Female",21,168,69.6,1.64
"247","Female",24,170,67.4,2.7
"248","Female",23,157,62.3,2.07
"249","Male",21,165,69.9,1.28
"250","Female",22,165,68.4,1.04
"251","Male",20,173,70.3,2.46
"252","Female",21,170,73.4,1.97
"253","Male",24,180,78.2,1.27
"254","Female",20,162,64.1,1.5
"255","Female",19,163,68.1,2.05
"256","Male",23,188,85.6,2.29
"257","Male",22,180,79.9,3.1
"258","Male",21,191,90.4,3.75
"259","Female",21,155,64.5,2.13
"260","Male",23,172,74.2,1.06
"261","Male",18,172,75.5,2.04
"262","Male",20,177,75.5,3.44
"263","Male",21,177,77.2,1.81
"264","Female",21,144,55,3.42
"265","Male",22,178,80.5,1.09
"266","Female",26,161,67.5,3.61
"267","Male",24,183,83,3.01
"268","Male",20,168,70.7,1.77
"269","Female",20,181,77.6,3.7
"270","Male",18,186,84.2,1.23
"271","Male",23,169,70.1,1.45
"272","Male",21,171,73.2,3.65
"273","Male",21,182,81.2,3.2
"274","Female",21,152,60.1,1.52
"275","Male",23,175,74,1.05
"276","Female",21,157,65.8,1.09
"277","Male",23,189,88.5,1.57
"278","Male",19,157,65.3,2.04
"279","Male",20,181,81.4,3.91
"280","Female",20,173,72.5,3.72
"281","Male",22,174,73.6,1.44
"282","Male",20,183,88.4,1.13
"283","Female",20,154,61.4,1.14
"284","Male",25,163,65.4,3.54
"285","Male",23,176,73.3,2.36
"286","Female",22,157,63.3,2.73
"287","Male",20,168,74.1,3.16
"288","Male",21,191,89.8,1.08
"289","Male",18,182,79,3.46
"290","Female",19,173,72.7,1.43
"291","Male",20,176,71.6,1.69
"292","Male",22,170,65.8,1.79
"293","Male",18,187,84.4,2.87
"294","Female",20,150,57.6,1.35
"295","Female",22,167,71.2,1.14
"296","Female",24,163,69.2,1.55
"297","Male",22,175,74.3,1.13
"298","Female",21,157,59.1,1.12
"299","Female",19,164,71.1,2.29
"300","Male",35,179,78.7,2.49
"301","Male",60,180,77.9,3.47
"302","Male",21,192,88.6,3.13
"303","Male",19,175,74.7,1.71
"304","Male",20,186,84.4,3.35
"305","Male",20,175,75.1,2.18
"306","Female",25,159,62.5,2.91
"307","Female",20,163,68.8,1.22
"308","Female",21,158,62.3,2.74
"309","Female",21,160,63.7,2.73
"310","Male",21,178,75.4,1.21
"311","Male",23,182,82.7,2.67
"312","Male",21,181,79.5,2.37
"313","Female",21,166,71.3,1.09
"314","Female",21,154,63.4,1.31
"315","Male",19,177,75.3,2.32
"316","Male",39,174,73,2.47
"317","Male",20,183,80,2.33
"318","Male",22,181,76.8,3.87
"319","Male",21,186,83.4,1.88
"320","Male",20,183,80.6,1.82
"321","Male",24,180,77.2,1.99
"322","Female",20,169,68.6,1.98
"323","Female",21,163,66.6,1.81
"324","Male",19,180,77.6,1.38
"325","Female",21,173,71.8,1.57
"326","Female",19,161,65.4,3.93
"327","Female",21,170,68.9,3.18
"328","Male",23,174,71.1,1.21
"329","Male",22,188,87.9,1.12
"330","Male",21,175,75.7,1.75
"331","Female",20,162,63.3,1.23
"332","Female",22,169,67.4,3.33
"333","Male",20,174,68.4,2.21
"334","Female",23,174,75.8,3.38
"335","Male",20,178,73.3,3.42
"336","Female",23,163,67.9,1.13
"337","Female",20,166,67.7,1.48
"338","Male",55,188,85,1.33
"339","Female",23,168,70.7,3.33
"340","Male",21,176,75.3,3.68
"341","Female",19,171,71,1.08
"342","Male",27,166,65.8,2.7
"343","Female",19,166,70.8,2.59
"344","Female",43,178,78.6,1.27
"345","Male",23,173,71.8,1.28
"346","Female",21,156,64,2.19
"347","Male",47,178,79.4,2.22
"348","Female",21,163,66.2,1.27
"349","Male",19,186,82,1.71
"350","Female",22,163,60.8,1.54
"351","Male",19,172,71.6,2.48
"352","Male",22,182,81.2,3.56
"353","Male",23,186,81.7,3.16
"354","Male",23,181,82.9,1.62
"355","Male",19,171,71.5,3.38
"356","Female",19,166,69.8,3.37
"357","Male",22,180,73.8,1.82
"358","Female",21,174,74.4,2.59
"359","Male",22,183,83.8,1.01
"360","Male",22,172,73,1.16
"361","Male",39,186,81.8,1.69
"362","Male",53,177,79.6,2.28
"363","Male",20,180,83.7,3.24
"364","Male",24,182,77.6,2.8
"365","Male",21,171,69.4,1.4
"366","Male",19,180,77.3,3.3
"367","Male",23,171,68.2,2.55
"368","Male",21,182,80.4,2
"369","Male",21,186,81.6,2.3
"370","Female",61,168,65.5,1.02
"371","Male",22,173,71.2,1.92
"372","Female",22,152,66,2.79
"373","Male",19,188,84.7,2.6
"374","Female",22,174,70.3,2.67
"375","Male",19,186,80.3,1.53
"376","Female",21,166,65,2.71
"377","Male",20,155,61.7,1.35
"378","Male",22,171,72.4,2.42
"379","Female",23,181,76.6,1.44
"380","Female",24,158,65.1,1.13
"381","Male",19,180,79.1,1.35
"382","Male",22,181,73,1.69
"383","Female",22,165,72.2,2.07
"384","Female",20,152,59.8,1.75
"385","Female",24,158,64.8,3.42
"386","Male",20,154,63.5,2.9
"387","Male",19,180,82.5,2.22
"388","Male",19,180,77.5,2.89
"389","Female",21,162,67.1,2.97
"390","Female",20,165,64.2,3.03
"391","Female",22,155,62.8,1.12
"392","Female",24,167,64.4,3.01
"393","Male",22,176,74.1,1.62
"394","Female",23,165,65,3.26
"395","Male",25,182,84.6,1.72
"396","Female",22,149,62.4,1.53
"397","Male",22,188,89.1,3.22
"398","Male",22,160,67.7,3.53
"399","Male",22,159,63,2.27
"400","Male",20,166,70.5,2.67
"401","Female",23,167,68.3,1.61
"402","Male",23,187,82.5,2.71
"403","Female",19,154,61.5,2.87
"404","Female",21,172,70.6,3.15
"405","Male",22,183,79.7,1.89
"406","Female",21,177,77.7,1.69
"407","Female",22,171,70.3,2.4
"408","Female",50,177,76,2.53
"409","Male",27,182,82.1,2.78
"410","Male",25,182,83.9,3.49
"411","Female",21,159,60.7,1.28
"412","Male",19,173,72.7,2.96
"413","Male",21,196,94.5,1.09
"414","Female",22,163,67.1,1.7
"415","Female",22,167,68.5,2.32
"416","Female",21,162,67.1,1.01
"417","Female",55,171,66.3,1.52
"418","Male",24,182,83.5,2.22
"419","Male",26,180,82.2,1.08
"420","Male",22,188,89.7,2.51
"421","Female",19,164,65.5,1.11
"422","Male",20,181,78.5,1.27
"423","Female",22,161,65,2.05
"424","Female",52,165,66.1,1.02
"425","Male",19,188,88.9,2.4
"426","Female",20,157,67.3,1.84
"427","Female",20,179,74.6,3.25
"428","Male",23,172,67,2.11
"429","Female",18,162,64,2.89
"430","Female",18,155,62,1.8
"431","Male",21,188,88.2,1.48
"432","Male",22,179,77.8,1.3
"433","Male",55,172,69,1.1
"434","Male",21,190,86,2.16
"435","Female",21,158,62,2.44
"436","Female",22,165,70.6,3.53
"437","Male",19,185,88,1.33
"438","Female",19,165,68.6,3.1
"439","Male",21,186,88,1.71
"440","Female",22,156,64.6,1.89
"441","Female",22,163,65.2,2.96
"442","Male",21,182,81.6,2.2
"443","Female",25,172,71.6,1.38
"444","Male",20,174,73.7,1.28
"445","Male",19,170,65.3,1.75
"446","Male",19,174,75.2,1.91
"447","Female",20,170,74.5,1.43
"448","Male",50,188,82.3,3.99
"449","Male",21,165,65.3,1.5
"450","Female",18,160,64.7,2.74
"451","Male",20,169,67.8,2.2
"452","Male",22,181,81,1.54
"453","Male",25,180,80.5,3.39
"454","Male",19,174,75.5,1.43
"455","Male",18,175,72.1,1.41
"456","Male",19,190,90,2.56
"457","Female",21,168,69.4,2.24
"458","Female",23,157,66,3.41
"459","Male",19,184,77.6,1.78
"460","Male",22,183,86.5,1.66
"461","Female",21,155,65.6,2.58
"462","Female",34,167,70.4,1.13
"463","Female",22,162,66.4,3.34
"464","Female",22,165,68.6,2.81
"465","Male",23,180,74.2,1.13
"466","Male",20,171,73.4,3.14
"467","Female",20,165,68.6,2.03
"468","Male",19,181,81.4,1.32
"469","Female",24,164,70.6,1.89
"470","Male",22,167,68.6,2.58
"471","Female",21,169,72.5,3.94
"472","Male",22,178,74,2
"473","Female",25,160,67.7,1.03
"474","Male",21,200,101.2,2.78
"475","Female",21,167,67.6,2.2
"476","Female",20,160,63.2,2.7
"477","Female",20,170,73,1.43
"478","Male",20,174,71.9,2.1
"479","Male",21,182,81.9,2.41
"480","Male",18,171,72.4,1.24
"481","Female",20,165,68,1.86
"482","Female",21,150,64.2,3.38
"483","Male",20,193,93.2,1.9
"484","Female",21,173,74.6,1.75
"485","Male",20,169,70.7,1.68
"486","Male",24,167,66.9,1.11
"487","Female",19,165,62.9,2.05
"488","Female",21,161,68.3,1.94
"489","Female",20,174,73.2,2.67
"490","Female",20,170,67.8,2.77
"491","Male",20,166,65.6,1.18
"492","Male",22,174,73.7,1.75
"493","Male",18,179,80.4,2.52
"494","Male",20,197,96.9,1.33
"495","Female",19,166,65.2,3.06
"496","Male",21,178,74,2.1
"497","Female",21,173,78.3,3.04
"498","Male",21,173,72.5,2.42
"499","Male",18,184,85,1.2
"500","Female",24,155,60.4,1.36
"501","Female",23,168,67.6,2.39
"502","Female",18,174,68.9,1.65
"503","Female",21,149,60.3,1.98
"504","Female",19,161,62.6,1.06
"505","Male",19,170,71.3,2.91
"506","Female",22,172,65.4,3.33
"507","Male",23,175,78.3,1.38
"508","Female",19,166,70.1,3.04
"509","Male",23,173,72.8,1.48
"510","Male",28,178,77.7,2.34
"511","Female",22,165,72.3,1.73
"512","Female",21,155,62.7,1.23
"513","Male",24,171,73.4,2.73
"514","Male",21,188,85.2,1.66
"515","Male",60,186,86.5,3.85
"516","Female",21,157,62.4,2.17
"517","Male",22,176,73.5,2.81
"518","Female",22,169,70,1.54
"519","Female",20,158,66.1,2.75
"520","Female",22,170,68,1.38
"521","Female",21,148,66.8,2.07
"522","Male",22,192,93.1,1.27
"523","Male",24,174,73.8,1.61
"524","Male",22,183,77.9,3.08
"525","Male",18,169,68.9,2.48
"526","Female",23,193,92.5,2.89
"527","Female",26,154,62.1,2.45
"528","Male",18,187,85.8,2.5
"529","Female",21,156,64.4,1.67
"530","Male",19,175,75.1,1.18
"531","Male",19,181,82.5,1.38
"532","Male",23,164,66.5,2.11
"533","Female",22,164,65,3.78
"534","Female",20,167,68.9,3.14
"535","Female",22,164,67.5,3.36
"536","Male",21,189,88,2.85
"537","Female",21,154,65.7,1.07
"538","Female",22,163,66.2,2.99
"539","Male",22,186,86,1.2
"540","Male",20,190,93.3,2.03
"541","Male",22,193,91.7,1.44
"542","Female",21,156,64,1.27
"543","Female",22,166,70,2.32
"544","Male",21,178,76.8,3.64
"545","Male",22,170,68.8,1.54
"546","Male",20,174,73.9,2.3
"547","Male",21,166,71.8,1.81
"548","Male",42,176,73.1,2.05
"549","Female",23,167,69.5,2.56
"550","Female",20,168,73.2,1.45
"551","Female",21,172,72.3,2.33
"552","Male",23,168,69.3,1.63
"553","Female",20,153,59.8,2
"554","Female",19,167,70.7,1.35
"555","Male",23,183,85.6,1.96
"556","Male",24,183,83.3,2.75
"557","Female",22,159,61,1.2
"558","Female",22,178,80.2,2.54
"559","Male",18,164,64.4,1.81
"560","Female",22,164,65.9,2.51
"561","Female",20,162,63,1.57
"562","Female",22,158,63.6,2.13
"563","Male",20,188,86.7,2.56
"564","Male",44,164,66.4,2.38
"565","Female",18,161,63.7,2.1
"566","Female",20,159,62.7,1.1
"567","Male",19,186,82.4,1.11
"568","Female",22,169,70.8,3.31
"569","Female",23,174,74.1,2.99
"570","Male",22,174,68.7,2.1
"571","Female",19,167,63.5,2.6
"572","Female",47,161,67.2,1.16
"573","Male",21,187,88.2,2.04
"574","Female",24,164,69.6,1.32
"575","Male",49,162,66.3,3.5
"576","Female",19,177,74.8,1.64
"577","Female",22,160,66.5,1.98
"578","Male",20,187,86.4,3
"579","Female",60,176,70.2,2.21
"580","Female",22,166,68.8,1.59
"581","Female",23,171,68.8,1.24
"582","Female",21,179,75.7,2.24
"583","Female",21,167,66.4,1.59
"584","Female",25,139,57.8,1.58
"585","Female",20,186,85,1.99
"586","Male",22,173,75.9,1.61
"587","Male",21,196,96.6,2.15
"588","Female",22,159,66.5,3.31
"589","Male",21,173,73.8,1.33
"590","Female",21,175,74.3,1.03
"591","Female",21,169,71.2,1.81
"592","Female",21,153,58.9,2.84
"593","Female",21,168,69.6,3.5
"594","Male",21,167,71.4,2.01
"595","Male",20,197,99.4,1.62
"596","Female",22,170,73.4,1.08
"597","Male",22,175,73.1,2.56
"598","Female",21,160,68.7,1.34
"599","Female",19,158,67.4,1.24
"600","Female",22,165,65.6,2.64
"601","Male",21,165,70.9,2.02
"602","Female",20,164,64.3,3.15
"603","Male",21,177,75,2.9
"604","Male",23,167,68.4,2.66
"605","Male",21,188,86.1,1.04
"606","Male",23,176,75.5,2.95
"607","Female",21,172,72.7,3.24
"608","Male",22,179,77.3,1.66
"609","Male",21,178,74.4,2.55
"610","Female",19,166,63,1.02
"611","Female",21,157,66.3,2.63
"612","Male",19,174,78.7,2.28
"613","Female",21,170,73.4,1.61
"614","Male",22,174,75.2,1.05
"615","Male",20,171,69.3,1.97
"616","Male",21,179,74.4,3.09
"617","Male",24,173,75.3,3.71
"618","Female",20,172,74.6,1.69
"619","Male",19,184,81.6,1.7
"620","Male",20,175,76.7,1.47
"621","Female",21,174,70.6,2.58
"622","Female",27,174,74,3.71
"623","Male",22,187,83.6,3.3
"624","Female",24,153,60,2.57
"625","Female",20,167,65.7,1.24
"626","Male",24,187,91,1.94
"627","Male",19,188,89.2,2.46
"628","Male",25,180,76.3,1.66
"629","Male",19,189,90.8,3
"630","Male",22,190,89.8,2.45
"631","Male",21,175,74.6,1.63
"632","Female",19,164,64.9,1
"633","Female",19,151,62.3,2.23
"634","Female",24,167,69.7,1.63
"635","Male",22,179,78.8,1.45
"636","Female",21,168,71.8,1.92
"637","Female",20,179,77.8,1.97
"638","Female",21,168,66.5,1.42
"639","Female",21,162,66.1,2.17
"640","Female",19,163,65.3,2.93
"641","Male",19,168,71.4,1.53
"642","Female",19,172,70.7,2.27
"643","Female",22,166,64.8,1.71
"644","Male",19,176,76.3,1.8
"645","Female",20,159,66.6,1.9
"646","Male",21,176,74.9,2.31
"647","Female",19,169,69.3,2.8
"648","Male",20,173,70.9,1.29
"649","Female",22,162,68.7,1.95
"650","Female",22,170,73.2,2.26
"651","Female",20,158,65.7,1.13
"652","Male",20,178,78.4,2.19
"653","Male",24,183,81.8,3.52
"654","Male",21,166,69.6,3.17
"655","Male",21,182,83.8,3.74
"656","Male",21,182,79.9,3.45
"657","Female",19,177,72.2,2.73
"658","Male",20,182,81.3,3.21
"659","Male",20,184,82.7,3.33
"660","Male",21,177,79.2,1.72
"661","Male",23,186,89.6,1.04
"662","Female",20,165,68.8,1.82
"663","Female",19,160,62.8,2.7
"664","Male",19,190,90.4,1.16
"665","Female",24,165,68,2.1
"666","Female",21,166,65.2,2.24
"667","Female",20,154,60.3,1.21
"668","Male",22,174,73,3.74
"669","Male",20,181,78,2.3
"670","Female",21,177,77,2.32
"671","Female",19,167,70.8,2.08
"672","Male",18,184,84.8,1.24
"673","Female",23,167,71.7,1.32
"674","Female",22,177,78.2,1.76
"675","Male",20,174,75,1.44
"676","Female",20,154,60.9,1.48
"677","Male",25,166,65.3,1.25
"678","Female",21,168,70.7,2.04
"679","Female",22,172,71.7,3.24
"680","Male",20,189,87.2,1.13
"681","Female",20,154,60.4,3.14
"682","Female",21,168,70.8,1.4
"683","Male",20,176,71.6,1.07
"684","Male",25,183,79.4,3.04
"685","Female",19,168,68.5,2.44
"686","Female",19,143,59.5,1.31
"687","Male",31,166,64.8,1.47
"688","Male",24,184,86.2,3.62
"689","Female",20,149,58.5,2.15
"690","Male",23,191,91.1,2.39
"691","Female",20,167,70.7,1.7
"692","Female",25,158,61.3,2.06
"693","Male",23,171,67.2,1.17
"694","Male",20,175,74.5,3.53
"695","Male",19,199,102.5,2.54
"696","Male",20,192,88.6,3.26
"697","Male",21,149,56.9,3.33
"698","Male",41,187,86.4,3.98
"699","Male",25,182,83.9,2.56
"700","Female",22,169,71.5,1.14
"701","Female",20,157,63.6,1.36
"702","Female",19,182,79,1.28
"703","Female",32,165,65.1,3.34
"704","Male",18,182,82.1,1.17
"705","Female",22,160,67.6,2.66
"706","Female",23,168,69,2.32
"707","Male",23,186,91,2.71
"708","Male",21,182,82.8,1.53
"709","Female",22,184,83.9,1.45
"710","Female",23,170,69.7,1.88
"711","Male",19,179,80.7,2.68
"712","Female",22,172,71.8,1.45
"713","Female",20,173,65.6,1.41
"714","Male",19,192,90.3,1.3
"715","Female",22,164,70.6,3.08
"716","Male",33,179,77,2.01
"717","Male",22,192,88,2.37
"718","Female",42,160,61.9,2.76
"719","Male",19,192,92.8,1.95
"720","Male",19,183,84,2.2
"721","Male",19,184,82.6,1.18
"722","Female",23,168,64.1,3.93
"723","Male",22,178,76,1.06
"724","Male",23,173,73.1,1.54
"725","Female",20,176,77.7,1.28
"726","Female",25,151,63.6,1.46
"727","Male",24,178,79.7,2.24
"728","Female",21,169,68.3,1.26
"729","Female",22,160,64.1,3.36
"730","Male",19,176,80.9,3.33
"731","Male",23,172,76.5,1.25
"732","Male",22,173,72.9,1.49
"733","Female",22,165,65.3,1.19
"734","Female",24,169,71,1.32
"735","Male",22,182,82.1,3.01
"736","Female",23,152,65.1,3.13
"737","Male",20,170,73.4,2.05
"738","Male",23,188,82.4,2.7
"739","Male",21,178,81,1.1
"740","Male",20,172,69.7,1.5
"741","Male",20,190,90,3.76
"742","Male",22,181,79.6,3.17
"743","Female",20,173,70.7,2.09
"744","Male",21,183,77.6,3.15
"745","Male",21,169,70.7,2.01
"746","Female",19,157,62.6,1.22
"747","Female",21,177,77.7,1.52
"748","Male",24,181,80.4,3.57
"749","Female",21,158,59.3,1.37
"750","Male",22,180,83.1,1.56
"751","Female",18,160,66.2,1.31
"752","Male",21,182,82.2,2.97
"753","Female",19,167,66.8,3.1
"754","Female",25,176,77.9,3.4
"755","Female",20,147,59.4,1.14
"756","Female",19,166,65.8,1.39
"757","Female",22,160,63,2.58
"758","Female",26,162,66.3,2.1
"759","Male",21,168,65.4,3.51
"760","Male",22,176,77.4,2.47
"761","Male",20,171,73.6,2.28
"762","Female",20,149,57,2.22
"763","Female",21,169,72.2,3.88
"764","Male",20,168,69.6,2.12
"765","Male",22,174,72.8,1.08
"766","Female",42,161,70.1,1.45
"767","Female",20,165,68.4,2.22
"768","Female",20,163,66.9,1.78
"769","Female",19,157,61.9,1.32
"770","Male",23,170,72.1,1.81
"771","Male",24,187,84,1.61
"772","Male",22,195,95.3,2.09
"773","Female",23,152,57.2,1.05
"774","Female",20,167,70.2,1.37
"775","Female",22,152,61.9,1.05
"776","Male",19,178,72.2,3.03
"777","Male",21,182,79.3,2.85
"778","Female",22,162,66.3,1.56
"779","Female",24,163,66.4,2.45
"780","Male",19,188,88,1.42
"781","Male",24,184,87,1.3
"782","Male",21,178,73.8,2.61
"783","Male",21,190,86.8,1.1
"784","Female",22,170,70.6,1.45
"785","Female",24,164,62.2,2.63
"786","Female",22,155,65.6,1.82
"787","Female",21,161,65.8,1.82
